Alerta;00:01:00;05:12:00;05:13:00
Ativo;00:00:30;05:13:00;05:13:30
Alerta;00:05:36;05:13:30;05:19:06
Ativo;00:07:26;05:19:06;05:26:32
Quieto;00:08:54;05:26:32;05:35:26
Ativo;00:05:24;05:35:26;05:40:50
Quieto;00:03:05;05:40:50;05:43:55
Quieto;00:00:04;05:43:55;05:43:59
Alerta;00:00:51;05:43:59;05:44:50
Quieto;00:02:10;05:44:50;05:47:00
QPC;00:18:31;05:47:00;06:05:31
QPC;00:00:04;06:05:31;06:05:35
QPC;00:01:14;06:05:35;06:06:49
Ativo;00:07:51;06:06:49;06:14:40
Alerta;00:05:10;06:14:40;06:19:50
Quieto;00:09:26;06:19:50;06:29:16
QPC;00:00:29;06:29:16;06:29:45
QPC;00:01:21;06:29:45;06:31:06
QPC;00:00:19;06:31:06;06:31:25
QPC;00:03:15;06:31:25;06:34:40
Ativo;00:03:00;06:34:40;06:37:40
Alerta;00:02:40;06:37:40;06:40:20
Ativo;00:00:40;06:40:20;06:41:00
QPC;00:12:23;06:41:00;06:53:23
QPC;00:20:47;06:53:23;07:14:10
REM;00:00:25;07:14:10;07:14:35
QPC;00:00:02;07:14:35;07:14:37
Alerta;00:00:22;07:14:37;07:14:59
Quieto;00:07:21;07:14:59;07:22:20
Alerta;00:05:40;07:22:20;07:28:00
Ativo;00:04:55;07:28:00;07:32:55
QPC;00:35:53;07:32:55;08:08:48
REM;00:00:22;08:08:48;08:09:10
QPC;00:00:10;08:09:10;08:09:20
Alerta;00:00:30;08:09:20;08:09:50
QPC;00:28:01;08:09:50;08:37:51
Alerta;00:01:27;08:37:51;08:39:18
Alerta;00:03:14;08:39:18;08:42:32
AMME;00:00:12;08:42:32;08:42:44
Alerta;00:02:16;08:42:44;08:45:00
Ativo;00:01:50;08:45:00;08:46:50
Alerta;00:02:10;08:46:50;08:49:00
Ativo;00:02:00;08:49:00;08:51:00
Quieto;00:08:30;08:51:00;08:59:30
Alerta;00:01:10;08:59:30;09:00:40
Quieto;00:00:39;09:00:40;09:01:19
QMMD;00:00:16;09:01:19;09:01:35
Quieto;00:17:10;09:01:35;09:18:45
Alerta;00:01:15;09:18:45;09:20:00
QPC;00:07:19;09:20:00;09:27:19
REM;00:00:39;09:27:19;09:27:58
Alerta;00:00:15;09:27:58;09:28:13
Quieto;00:05:12;09:28:13;09:33:25
QMMD;00:00:16;09:33:25;09:33:41
Quieto;00:01:23;09:33:41;09:35:04
QMME;00:00:19;09:35:04;09:35:23
Alerta;00:01:17;09:35:23;09:36:40
Quieto;00:03:18;09:36:40;09:39:58
Alerta;00:00:40;09:39:58;09:40:38
Ativo;00:03:52;09:40:38;09:44:30
Quieto;00:01:39;09:44:30;09:46:09
QMME;00:00:16;09:46:09;09:46:25
Quieto;00:00:52;09:46:25;09:47:17
QMMD;00:00:22;09:47:17;09:47:39
Quieto;00:01:55;09:47:39;09:49:34
Alerta;00:00:26;09:49:34;09:50:00
Ativo;00:00:10;09:50:00;09:50:10
Alerta;00:03:20;09:50:10;09:53:30
Quieto;00:02:55;09:53:30;09:56:25
Ativo;00:02:55;09:56:25;09:59:20
QPC;00:11:17;09:59:20;10:10:37
Alerta;00:02:18;10:10:37;10:12:55
QPC;00:30:45;10:12:55;10:43:40
REM;00:00:20;10:43:40;10:44:00
QPC;00:00:05;10:44:00;10:44:05
Alerta;00:00:55;10:44:05;10:45:00
Quieto;00:03:41;10:45:00;10:48:41
QMME;00:00:07;10:48:41;10:48:48
Ativo;00:07:58;10:48:48;10:56:46
Alerta;00:05:14;10:56:46;11:02:00
Quieto;00:04:43;11:02:00;11:06:43
Alerta;00:20:38;11:06:43;11:27:21
Ativo;00:00:39;11:27:21;11:28:00
Alerta;00:23:31;11:28:00;11:51:31
AMME;00:00:08;11:51:31;11:51:39
Alerta;00:25:37;11:51:39;12:17:16
AMME;00:00:35;12:17:16;12:17:51
Alerta;00:00:06;12:17:51;12:17:57
Ativo;00:21:23;12:17:57;12:39:20
Alerta;00:31:55;12:39:20;13:11:15
Ativo;00:05:57;13:11:15;13:17:12
Alerta;00:00:13;13:17:12;13:17:25
QMME;00:00:07;13:17:25;13:17:32
